id	rate	county
6001	0.113	Alameda County
6003	0.152	Alpine County
6005	0.121	Amador County
6007	0.122	Butte County
6009	0.143	Calaveras County
6011	0.145	Colusa County
6013	0.112	Contra Costa County
6015	0.119	Del Norte County
6017	0.112	El Dorado County
6019	0.141	Fresno County
6021	0.138	Glenn County
6023	0.103	Humboldt County
6025	0.301	Imperial County
6027	0.095	Inyo County
6029	0.139	Kern County
6031	0.139	Kings County
6033	0.147	Lake County
6035	0.118	Lassen County
6037	0.127	Los Angeles County
6039	0.123	Madera County
6041	0.08	Marin County
6043	0.088	Mariposa County
6045	0.101	Mendocino County
6047	0.157	Merced County
6049	0.111	Modoc County
6051	0.103	Mono County
6053	0.1	Monterey County
6055	0.087	Napa County
6057	0.109	Nevada County
6059	0.094	Orange County
6061	0.113	Placer County
6063	0.139	Plumas County
6065	0.147	Riverside County
6067	0.122	Sacramento County
6069	0.125	San Benito County
6071	0.136	San Bernardino County
6073	0.102	San Diego County
6075	0.097	San Francisco County
6077	0.155	San Joaquin County
6079	0.09	San Luis Obispo County
6081	0.09	San Mateo County
6083	0.085	Santa Barbara County
6085	0.118	Santa Clara County
6087	0.102	Santa Cruz County
6089	0.147	Shasta County
6091	0.137	Sierra County
6093	0.135	Siskiyou County
6095	0.115	Solano County
6097	0.099	Sonoma County
6099	0.153	Stanislaus County
6101	0.151	Sutter County
6103	0.137	Tehama County
6105	0.159	Trinity County
6107	0.149	Tulare County
6109	0.127	Tuolumne County
6111	0.11	Ventura County
6113	0.109	Yolo County
6115	0.178	Yuba County
